num,data,char,err
1,0.054413,bad,0.05
2,0.038964,bad,0.1
3,-0.035354,bad,0.2
4,0.20102,bad,0.05
5,0.1542,bad,0.06
6,0.18071,bad,0.083
7,0.15519,bad,0.08
8,0.16117,bad,0.077
9,0.14435,bad,0.074
10,0.052891,bad,0.071
11,0.10392,bad,0.068
12,0.052058,bad,0.065
13,-0.028061,bad,0.062
14,-0.059155,bad,0.059
1,0.12124,good,0.056
2,0.091955,good,0.053
3,-0.010074,good,0.05
4,0.37937,good,0.047
5,0.292,good,0.044
6,0.3387,good,0.041
7,0.27793,good,0.038
8,0.26761,good,0.035
9,0.26081,good,0.032
10,0.13995,good,0.029
11,0.20027,good,0.026
12,0.13899,good,0.023
13,-0.043616,good,0.02
14,-0.066795,good,0.017
